"","from","to","weight"
"1","924","9",1
"2","117","9",1
"3","97","101",1
"4","235","981",1
"5","97","109",1
"6","235","989",1
"7","946","938",1
"8","690","691",1
"9","431","109",1
"10","206","157",1
"11","10","92",1
"12","10","91",2
"13","10","90",4
"14","305","776",1
"15","993","991",1
"16","229","90",1
"17","600","26",1
"18","41","427",1
"19","1132","1130",1
"20","212","46",2
"21","200","183",1
"22","316","90",4
"23","223","224",1
"24","445","1106",3
"25","75","157",1
"26","928","1046",2
"27","232","224",1
"28","565","515",1
"29","76","90",1
"30","235","988",1
"31","206","13",1
"32","90","720",1
"33","701","691",1
"34","150","149",1
"35","478","90",1
"36","206","207",2
"37","206","209",1
"38","573","46",1
"39","338","27",1
"40","730","861",1
"41","54","501",1
"42","235","462",3
"43","543","90",2
"44","487","525",1
"45","229","1222",1
"46","8","19",1
"47","8","12",1
"48","880","353",1
"49","91","681",1
"50","235","1184",2
"51","420","127",1
"52","12","13",1
"53","1225","305",1
"54","10","486",1
"55","713","714",1
"56","90","109",6
"57","496","449",1
"58","72","9",1
"59","1174","322",1
"60","10","738",2
"61","91","198",1
"62","485","41",1
"63","91","192",1
"64","475","46",1
"65","283","90",1
"66","333","27",1
"67","27","50",1
"68","1122","9",1
"69","8","9",1
"70","405","9",1
"71","716","35",1
"72","2","515",1
"73","41","157",1
"74","10","122",1
"75","10","123",1
"76","10","121",1
"77","10","125",1
"78","804","798",1
"79","305","777",1
"80","43","127",1
"81","91","63",1
"82","42","466",1
"83","42","467",1
"84","42","462",1
"85","10","99",2
"86","90","46",1
"87","366","90",1
"88","499","90",1
"89","235","229",6
"90","235","739",1
"91","235","738",2
"92","2","139",1
"93","235","730",2
"94","235","226",2
"95","42","202",3
"96","42","200",8
"97","10","1207",1
"98","279","41",1
"99","534","50",1
"100","278","63",1
"101","25","159",1
"102","219","68",1
"103","708","709",1
"104","673","9",1
"105","235","645",2
"106","965","966",1
"107","416","1106",2
"108","700","305",1
"109","116","9",1
"110","137","11",1
"111","135","132",1
"112","135","131",1
"113","10","89",4
"114","8","150",1
"115","41","415",1
"116","838","839",1
"117","52","280",1
"118","484","90",1
"119","52","935",1
"120","543","305",9
"121","756","97",1
"122","268","47",1
"123","41","1084",1
"124","928","1058",1
"125","75","61",1
"126","242","97",1
"127","543","835",1
"128","206","210",1
"129","862","52",1
"130","469","90",1
"131","134","179",1
"132","2","1115",1
"133","769","29",1
"134","235","1195",2
"135","183","154",1
"136","425","46",1
"137","91","364",1
"138","96","97",1
"139","25","2",6
"140","43","42",1
"141","148","149",1
"142","90","114",1
"143","347","13",1
"144","463","464",1
"145","956","118",1
"146","701","9",1
"147","47","268",2
"148","51","47",1
"149","51","46",1
"150","68","1077",2
"151","1147","13",1
"152","73","42",1
"153","764","765",1
"154","243","109",1
"155","235","434",1
"156","1172","1173",1
"157","543","546",1
"158","543","547",1
"159","484","46",1
"160","235","1089",1
"161","875","157",1
"162","718","90",1
"163","703","697",1
"164","969","202",3
"165","558","50",2
"166","458","462",1
"167","345","90",1
"168","235","347",2
"169","2","50",1
"170","183","200",1
"171","91","72",1
"172","42","476",1
"173","43","255",1
"174","665","666",1
"175","960","962",1
"176","90","73",2
"177","511","109",1
"178","90","76",1
"179","235","236",2
"180","10","229",4
"181","235","231",1
"182","1122","1106",3
"183","50","89",1
"184","499","46",1
"185","10","413",1
"186","667","315",1
"187","305","546",1
"188","323","9",1
"189","76","257",2
"190","67","28",1
"191","1225","1226",1
"192","691","150",1
"193","235","602",1
"194","243","292",1
"195","25","235",1
"196","543","46",1
"197","10","915",2
"198","235","604",1
"199","268","269",1
"200","928","85",5
"201","704","150",1
"202","600","2",1
"203","27","417",1
"204","1","2",1
"205","726","547",1
"206","726","546",1
"207","536","537",1
"208","91","517",1
"209","536","538",1
"210","47","760",3
"211","946","462",1
"212","189","190",1
"213","627","235",1
"214","1196","379",1
"215","30","315",3
"216","25","363",1
"217","90","305",3
"218","97","41",2
"219","51","50",1
"220","200","353",7
"221","839","9",1
"222","24","2",2
"223","91","85",7
"224","582","305",1
"225","91","229",6
"226","8","30",1
"227","91","730",3
"228","229","1119",1
"229","91","89",5
"230","91","226",1
"231","514","27",1
"232","494","90",1
"233","154","452",1
"234","189","10",1
"235","10","396",1
"236","993","13",1
"237","1221","2",1
"238","352","351",1
"239","10","109",1
"240","431","27",1
"241","413","226",1
"242","498","90",1
"243","209","9",1
"244","41","653",1
"245","97","248",1
"246","97","249",2
"247","25","625",1
"248","91","43",2
"249","91","42",5
"250","91","41",5
"251","97","243",2
"252","90","63",2
"253","235","243",2
"254","235","714",1
"255","10","9",1
"256","10","5",3
"257","449","983",1
"258","10","2",2
"259","137","177",1
"260","42","1013",2
"261","946","159",1
"262","150","9",1
"263","25","137",1
"264","229","830",1
"265","1052","1053",1
"266","238","109",1
"267","182","157",1
"268","252","90",1
"269","305","748",1
"270","871","872",1
"271","321","13",1
"272","738","947",1
"273","451","46",1
"274","305","747",1
"275","867","5",1
"276","269","268",1
"277","200","25",1
"278","1043","150",2
"279","316","46",3
"280","178","12",1
"281","1013","42",2
"282","8","285",1
"283","27","392",1
"284","839","1106",1
"285","235","1207",1
"286","573","90",1
"287","2","625",1
"288","47","779",3
"289","305","926",4
"290","1096","27",1
"291","421","127",1
"292","10","698",1
"293","10","699",1
"294","10","192",1
"295","229","236",1
"296","606","733",1
"297","235","29",5
"298","108","58",1
"299","235","25",21
"300","10","450",1
"301","568","569",1
"302","91","347",2
"303","676","50",1
"304","90","464",1
"305","9","157",1
"306","265","266",1
"307","449","982",1
"308","676","558",1
"309","1101","1100",1
"310","567","114",1
"311","91","235",8
"312","255","10",1
"313","464","525",1
"314","875","9",1
"315","189","29",1
"316","305","109",2
"317","189","25",1
"318","560","235",1
"319","506","507",1
"320","506","508",1
"321","465","137",1
"322","532","46",1
"323","119","13",1
"324","91","656",1
"325","822","47",1
"326","284","114",1
"327","885","886",1
"328","42","13",5
"329","10","115",1
"330","109","90",2
"331","448","109",1
"332","70","35",1
"333","47","46",1
"334","90","50",6
"335","91","50",4
"336","52","137",2
"337","256","8",1
"338","309","90",1
"339","47","973",1
"340","1090","1089",1
"341","10","1052",1
"342","449","990",2
"343","269","47",1
"344","1182","73",1
"345","11","2",1
"346","2","201",1
"347","432","90",1
"348","353","200",5
"349","738","979",1
"350","426","322",1
"351","305","782",1
"352","584","1099",1
"353","26","201",1
"354","9","13",2
"355","146","132",1
"356","24","26",1
"357","1199","690",1
"358","1086","1087",1
"359","137","41",1
"360","50","42",1
"361","121","2",1
"362","397","398",1
"363","722","723",1
"364","1032","90",1
"365","260","200",1
"366","1147","9",1
"367","256","97",1
"368","200","202",1
"369","577","109",1
"370","360","9",1
"371","73","313",1
"372","702","697",1
"373","625","305",1
"374","957","958",1
"375","340","90",1
"376","108","47",1
"377","235","35",2
"378","235","30",1
"379","23","12",1
"380","483","12",1
"381","370","46",1
"382","599","46",1
"383","90","413",4
"384","893","13",1
"385","90","327",1
"386","244","106",2
"387","168","120",1
"388","91","714",1
"389","570","305",1
"390","91","249",1
"391","690","9",1
"392","90","252",1
"393","544","325",1
"394","305","814",1
"395","292","41",1
"396","354","643",1
"397","428","50",1
"398","46","47",1
"399","956","89",1
"400","90","97",2
"401","85","13",1
"402","235","464",2
"403","1031","1032",1
"404","91","1195",1
"405","131","132",1
"406","26","2",2
"407","90","41",13
"408","90","42",3
"409","90","43",2
"410","235","949",1
"411","67","1065",2
"412","735","11",1
"413","317","2",1
"414","1182","1183",1
"415","405","406",1
"416","405","407",1
"417","1167","1168",1
"418","982","496",1
"419","235","265",1
"420","235","264",1
"421","235","266",2
"422","235","260",1
"423","151","152",1
"424","484","477",1
"425","150","13",1
"426","47","60",1
"427","704","9",1
"428","625","29",1
"429","41","218",1
"430","10","305",2
"431","10","301",1
"432","235","603",2
"433","235","600",2
"434","52","862",2
"435","42","553",4
"436","25","202",2
"437","5","860",1
"438","462","90",1
"439","462","95",1
"440","235","114",1
"441","747","748",2
"442","229","967",1
"443","184","157",1
"444","982","983",1
"445","533","50",1
"446","768","2",1
"447","281","46",1
"448","226","227",1
"449","30","589",2
"450","30","586",2
"451","30","585",2
"452","241","13",2
"453","134","132",1
"454","39","40",1
"455","851","738",1
"456","469","46",1
"457","391","95",1
"458","738","980",1
"459","201","202",1
"460","1181","1184",1
"461","27","515",1
"462","305","783",1
"463","738","1164",1
"464","12","41",1
"465","1175","1174",1
"466","141","710",1
"467","1146","2",1
"468","1037","266",1
"469","9","379",1
"470","47","61",1
"471","5","42",1
"472","102","9",2
"473","1186","1058",2
"474","90","249",1
"475","90","248",1
"476","1194","36",1
"477","701","150",1
"478","464","471",1
"479","229","752",1
"480","580","9",1
"481","91","897",1
"482","68","13",1
"483","229","753",1
"484","244","310",1
"485","464","12",1
"486","1133","1134",1
"487","154","157",1
"488","359","9",1
"489","305","90",2
"490","690","13",1
"491","880","200",1
"492","130","132",1
"493","406","407",1
"494","476","674",1
"495","1157","7",1
"496","944","994",1
"497","54","235",1
"498","235","734",2
"499","28","35",1
"500","50","1096",1
"501","91","950",1
"502","328","27",1
"503","534","150",1
"504","52","857",1
"505","10","37",1
"506","10","36",1
"507","10","30",1
"508","41","449",1
"509","42","5",1
"510","8","315",1
"511","617","618",1
"512","12","535",1
"513","91","95",2
"514","235","106",2
"515","1077","52",2
"516","235","109",2
"517","260","353",1
"518","529","90",1
"519","305","668",1
"520","599","90",1
"521","487","141",2
"522","305","834",1
"523","569","90",1
"524","634","9",1
"525","1181","1182",2
"526","451","90",1
"527","10","464",2
"528","235","13",6
"529","89","118",3
"530","235","11",3
"531","114","90",31
"532","1181","1183",1
"533","91","462",3
"534","91","464",4
"535","200","643",1
"536","512","109",1
"537","97","8",1
"538","27","235",1
"539","1005","1006",1
"540","1005","1007",1
"541","30","606",2
"542","498","499",1
"543","1042","1035",1
"544","73","628",1
"545","696","697",1
"546","792","912",1
"547","53","46",1
"548","528","90",1
"549","251","252",1
"550","2","1165",1
"551","144","12",1
"552","27","42",1
"553","146","315",1
"554","477","90",1
"555","235","27",3
"556","356","357",1
"557","681","305",1
"558","250","43",1
"559","36","146",1
"560","47","57",1
"561","47","56",1
"562","47","55",1
"563","47","59",1
"564","47","58",5
"565","358","9",1
"566","317","858",1
"567","68","69",1
"568","2","446",1
"569","2","445",2
"570","684","655",1
"571","1175","322",1
"572","454","109",1
"573","91","114",1
"574","510","114",4
"575","581","9",1
"576","287","9",1
"577","516","515",1
"578","1142","1143",1
"579","290","515",1
"580","10","85",2
"581","800","798",1
"582","287","288",1
"583","510","46",2
"584","647","648",1
"585","647","649",1
"586","316","114",1
"587","235","915",1
"588","134","72",1
"589","109","229",1
"590","184","229",1
"591","463","90",2
"592","49","48",1
"593","10","1153",1
"594","704","691",1
"595","10","29",9
"596","115","41",1
"597","10","25",1
"598","90","317",2
"599","2","5",3
"600","2","6",1
"601","432","46",1
"602","533","150",1
"603","47","854",1
"604","109","130",1
"605","235","130",1
"606","68","159",4
"607","235","137",1
"608","1128","1129",1
"609","325","150",1
"610","1108","322",1
"611","25","315",1
"612","42","575",2
"613","578","90",1
"614","184","9",1
"615","42","137",1
"616","25","938",1
"617","52","445",1
"618","1111","1112",2
"619","934","935",2
"620","413","889",1
"621","944","997",1
"622","596","580",1
"623","596","581",1
"624","485","266",1
"625","235","63",2
"626","235","68",5
"627","68","9",3
"628","441","9",1
"629","72","41",1
"630","72","42",1
"631","180","27",1
"632","1172","1174",1
"633","9","353",1
"634","1063","9",1
"635","5","2",1
"636","370","90",1
"637","721","90",1
"638","119","120",1
"639","90","5",1
"640","1147","1179",1
"641","90","2",3
"642","1213","13",1
"643","91","291",1
"644","465","466",1
"645","465","467",1
"646","146","325",1
"647","124","120",1
"648","305","763",1
"649","305","1216",1
"650","230","13",1
"651","97","13",3
"652","68","73",1
"653","799","798",1
"654","25","792",1
"655","52","6",2
"656","90","734",1
"657","46","90",33
"658","498","46",1
"659","41","72",2
"660","235","951",1
"661","304","90",4
"662","45","47",1
"663","536","41",1
"664","154","179",1
"665","91","109",4
"666","893","894",1
"667","90","99",1
"668","235","950",1
"669","90","91",1
"670","372","11",1
"671","10","243",1
"672","1182","1184",1
"673","61","157",1
"674","477","46",1
"675","61","158",1
"676","235","589",1
"677","528","529",1
"678","797","798",1
"679","982","449",1
"680","2","600",1
"681","2","603",1
"682","2","604",1
"683","229","751",1
"684","85","132",1
"685","704","13",1
"686","5","236",1
"687","42","413",1
"688","496","983",1
"689","580","581",1
"690","10","13",2
"691","10","12",3
"692","41","317",1
"693","235","202",1
"694","53","47",1
"695","68","145",1
"696","325","146",1
"697","976","977",1
"698","284","90",1
"699","281","90",1
"700","568","90",1
"701","555","515",1
"702","183","13",1
"703","76","47",1
"704","135","144",1
"705","199","198",1
"706","797","73",1
"707","611","612",1
"708","235","353",1
"709","235","73",2
"710","235","72",1
"711","680","25",1
"712","28","50",1
"713","1181","1179",1
"714","726","305",1
"715","564","515",1
"716","90","185",1
"717","544","72",1
"718","464","677",1
"719","368","90",2
"720","265","47",1
"721","229","1223",1
"722","899","9",1
"723","133","132",1
"724","151","10",1
"725","36","9",1
"726","760","47",1
"727","1181","73",1
"728","91","90",2
"729","442","13",1
"730","305","1208",1
"731","1225","50",1
"732","97","27",1
"733","91","5",4
"734","91","2",3
"735","546","305",2
"736","1100","1101",1
"737","2","1116",1
"738","235","9",4
"739","879","200",1
"740","716","315",1
"741","235","5",3
"742","721","46",1
"743","91","131",1
"744","354","200",1
"745","554","90",1
"746","2","25",3
"747","2","26",1
"748","362","13",1
"749","150","52",1
"750","150","50",1
"751","305","1020",1
"752","118","89",2
"753","243","72",1
"754","511","512",1
"755","10","186",1
"756","454","90",3
"757","42","89",1
"758","90","85",1
"759","235","485",1
"760","235","805",1
"761","42","353",9
"762","321","85",1
"763","44","29",1
"764","62","90",1
"765","928","322",2
"766","305","531",1
"767","200","42",1
"768","305","835",1
"769","8","326",1
"770","956","999",1
"771","1043","1044",2
"772","235","157",1
"773","235","384",1
"774","212","90",1
"775","42","185",1
"776","9","41",2
"777","1074","1075",1
"778","91","590",1
"779","529","46",1
"780","533","534",1
"781","27","334",1
"782","27","339",1
"783","50","150",1
"784","839","416",1
"785","701","13",1
"786","253","13",1
"787","9","209",2
"788","1097","1098",1
"789","41","63",1
"790","340","46",1
"791","1039","1040",2
"792","235","46",4
"793","235","47",2
"794","235","41",14
"795","235","42",8
"796","174","50",1
"797","1096","1163",1
"798","28","27",1
"799","28","29",1
